Date,Counter,Species,Strain,Fly,Ovary.1,Ovary.2,Total,Mean.per.ovary,Strain.average,N,Order
8.8.2025,Janpreet,Dmel,CS,1,18,19,37,18.5,16.4,10,H
8.8.2025,Janpreet,Dmel,CS,2,12,19,31,15.5,,,H
8.8.2025,Janpreet,Dmel,CS,3,17,15,32,16,,,H
8.8.2025,Janpreet,Dmel,CS,4,16,17,33,16.5,,,H
8.8.2025,Janpreet,Dmel,CS,5,14,17,31,15.5,,,H
8.8.2025,Janpreet,Dmel,CS,6,17,20,37,18.5,,,H
8.8.2025,Janpreet,Dmel,CS,7,18,16,34,17,,,H
8.8.2025,Janpreet,Dmel,CS,8,13,15,28,14,,,H
8.8.2025,Janpreet,Dmel,CS,9,16,18,34,17,,,H
8.8.2025,Janpreet,Dmel,CS,10,17,14,31,15.5,,,H
8.8.2025,Michael,Dsec,7,1,9,8,17,8.5,8.35,10,A
8.8.2025,Michael,Dsec,7,2,8,10,18,9,,,A
8.8.2025,Michael,Dsec,7,3,7,9,16,8,,,A
8.8.2025,Michael,Dsec,7,4,8,6,14,7,,,A
8.8.2025,Michael,Dsec,7,5,7,8,15,7.5,,,A
8.8.2025,Michael,Dsec,7,6,6,9,15,7.5,,,A
8.8.2025,Michael,Dsec,7,7,10,NA,10,10,,,A
8.8.2025,Michael,Dsec,7,8,6,6,12,6,,,A
8.8.2025,Michael,Dsec,7,9,11,10,21,10.5,,,A
8.8.2025,Michael,Dsec,7,10,9,10,19,9.5,,,A
8.15.2025,Janpreet,Dsec,28,1,8,9,17,8.5,8,10,B
8.15.2025,Janpreet,Dsec,28,2,9,8,17,8.5,,,B
8.15.2025,Janpreet,Dsec,28,3,10,7,17,8.5,,,B
8.15.2025,Janpreet,Dsec,28,4,5,8,13,6.5,,,B
8.15.2025,Janpreet,Dsec,28,5,6,7,13,6.5,,,B
8.15.2025,Janpreet,Dsec,28,6,11,8,19,9.5,,,B
8.15.2025,Janpreet,Dsec,28,7,7,7,14,7,,,B
8.15.2025,Janpreet,Dsec,28,8,8,9,17,8.5,,,B
8.15.2025,Janpreet,Dsec,28,9,11,9,20,10,,,B
8.15.2025,Janpreet,Dsec,28,10,7,6,13,6.5,,,B
8.22.2025,Michael,Dsec,Aride3312,1,8,8,16,8,8,9,F
8.22.2025,Michael,Dsec,Aride3312,2,9,8,17,8.5,,,F
8.22.2025,Michael,Dsec,Aride3312,3,9,7,16,8,,,F
8.22.2025,Michael,Dsec,Aride3312,4,8,10,18,9,,,F
8.22.2025,Michael,Dsec,Aride3312,5,8,8,16,8,,,F
8.22.2025,Michael,Dsec,Aride3312,6,8,9,17,8.5,,,F
8.22.2025,Michael,Dsec,Aride3312,7,7,8,15,7.5,,,F
8.22.2025,Michael,Dsec,Aride3312,8,7,8,15,7.5,,,F
8.22.2025,Michael,Dsec,Aride3312,9,7,7,14,7,,,F
8.22.2025,Michael,Dsec,Mahe13111,1,9,8,17,8.5,8.3,10,G
8.22.2025,Michael,Dsec,Mahe13111,2,11,9,20,10,,,G
9.5.2025,Michael,Dsec,Mahe13111,3,6,7,13,6.5,,,G
9.5.2026,Michael,Dsec,Mahe13111,4,9,8,17,8.5,,,G
9.5.2027,Michael,Dsec,Mahe13111,5,9,9,18,9,,,G
9.5.2028,Michael,Dsec,Mahe13111,6,8,9,17,8.5,,,G
9.5.2029,Michael,Dsec,Mahe13111,7,6,7,13,6.5,,,G
9.5.2030,Michael,Dsec,Mahe13111,8,7,8,15,7.5,,,G
9.5.2031,Michael,Dsec,Mahe13111,9,9,10,19,9.5,,,G
9.5.2032,Michael,Dsec,Mahe13111,10,8,9,17,8.5,,,G
8.22.2025,Janpreet,Dsec,Praslin7611,1,10,9,19,9.5,8.45,10,C
8.22.2025,Janpreet,Dsec,Praslin7611,2,8,8,16,8,,,C
8.22.2025,Janpreet,Dsec,Praslin7611,3,10,9,19,9.5,,,C
8.22.2025,Janpreet,Dsec,Praslin7611,4,10,9,19,9.5,,,C
8.22.2025,Janpreet,Dsec,Praslin7611,5,7,9,16,8,,,C
8.22.2025,Janpreet,Dsec,Praslin7611,6,8,9,17,8.5,,,C
