Strain,Prop.Surv.,Date,N,Order
Aride A3F311,0.9,4/2/24,11,E
Aride A3F311,1,4/4/24,,E
Aride A3F311,0.4,4/8/24,,E
Aride A3F311,0.714285714,4/15/24,,E
Aride A3F311,0.818181818,4/29/24,,E
Aride A3F311,0.9,5/1/24,,E
Aride A3F311,1,5/7/24,,E
Aride A3F311,0.916666667,5/7/24,,E
Aride A3F311,1,45420,,E
Aride A3F311,1,45420,,E
Aride A3F311,0.571428571,5/9/24,,E
Aride3312,0.8,4/2/24,11,F
Aride3312,0.875,4/4/24,,F
Aride3312,1,4/4/24,,F
Aride3312,0.714285714,4/8/24,,F
Aride3312,0.571428571,4/8/24,,F
Aride3312,0,4/15/24,,F
Aride3312,0.571428571,5/1/24,,F
Aride3312,0.9,5/1/24,,F
Aride3312,0.909090909,5/7/24,,F
Aride3312,0.9,45420,,F
Aride3312,0.933333333,5/9/24,,F
DmelCS,0,4/2/24,12,H
DmelCS,0,4/15/24,,H
DmelCS,0,4/15/24,,H
DmelCS,0.454545455,4/29/24,,H
DmelCS,0,5/1/24,,H
DmelCS,0,5/7/24,,H
DmelCS,0.2,5/7/24,,H
DmelCS,0.272727273,45420,,H
DmelCS,0.333333333,45420,,H
DmelCS,0.545454545,5/9/24,,H
DmelCS,0.090909091,5/9/24,,H
DmelCS,0.5,5/13/24,,H
Dsec07,0.857142857,4/2/24,14,A
Dsec07,0.909090909,4/4/24,,A
Dsec07,1,4/4/24,,A
Dsec07,1,4/4/24,,A
Dsec07,1,4/8/24,,A
Dsec07,1,4/8/24,,A
Dsec07,0.9,4/15/24,,A
Dsec07,0.875,4/15/24,,A
Dsec07,1,4/29/24,,A
Dsec07,1,5/1/24,,A
Dsec07,1,5/7/24,,A
Dsec07,1,45420,,A
Dsec07,1,5/9/24,,A
Dsec07,1,5/13/24,,A
Dsec28,0.875,4/2/24,13,B
Dsec28,1,4/4/24,,B
Dsec28,0.9,4/4/24,,B
Dsec28,1,4/8/24,,B
Dsec28,0.923076923,4/8/24,,B
Dsec28,0.8,4/15/24,,B
Dsec28,0.818181818,4/15/24,,B
Dsec28,1,4/29/24,,B
Dsec28,1,5/1/24,,B
Dsec28,1,5/7/24,,B
Dsec28,1,45420,,B
Dsec28,1,5/9/24,,B
Dsec28,0.9,5/13/24,,B
Mahe13112,1,4/4/24,10,G
Mahe13112,0.166666667,4/15/24,,G
Mahe13112,0.6,4/15/24,,G
Mahe13112,0.9,5/1/24,,G
Mahe13112,1,5/7/24,,G
Mahe13112,0.9,5/7/24,,G
Mahe13112,0.833333333,45420,,G
Mahe13112,0.909090909,5/13/24,,G
Mahe13112,0.9,5/13/24,,G
Mahe13112,0.9,5/13/24,,G
Praislin 7611,0.2,4/2/24,10,C
Praislin 7611,1,4/4/24,,C
Praislin 7611,0.818181818,4/4/24,,C
Praislin 7611,0.875,4/4/24,,C
Praislin 7611,0.75,4/8/24,,C
Praislin 7611,0.5,4/15/24,,C
Praislin 7611,0.5,4/15/24,,C
Praislin 7611,0.833333333,4/29/24,,C
Praislin 7611,0.7,5/1/24,,C
Praislin 7611,0.727272727,5/1/24,,C
Praislin 7621,0.625,4/2/24,11,D
Praislin 7621,0.916666667,4/4/24,,D
Praislin 7621,1,4/8/24,,D
Praislin 7621,0.75,4/15/24,,D
Praislin 7621,0.636363636,4/15/24,,D
Praislin 7621,0.909090909,4/29/24,,D
Praislin 7621,0.7,5/1/24,,D
Praislin 7621,0.909090909,5/7/24,,D
Praislin 7621,0.666666667,5/7/24,,D
Praislin 7621,0.875,45420,,D
Praislin 7621,0.9,5/9/24,,D
