Order,Date,Species,Strain,Egg,Length,Width,V=1/6(3.14159)W^2L,,N
H,10/17/25,Dmel,CS,1,0.475,0.254,0.016045723,,30
H,10/17/25,Dmel,CS,2,0.487,0.25,0.015937024,,
H,10/17/25,Dmel,CS,3,0.425,0.275,0.016828778,,
H,10/17/25,Dmel,CS,4,0.44,0.291,0.019509085,,
H,10/17/25,Dmel,CS,5,0.482,0.287,0.020787827,,
H,10/17/25,Dmel,CS,6,0.463,0.325,0.025606249,,
H,10/17/25,Dmel,CS,7,0.512,0.265,0.018826083,,
H,10/17/25,Dmel,CS,8,0.532,0.304,0.025742875,,
H,10/17/25,Dmel,CS,9,0.542,0.242,0.016619895,,
H,10/17/25,Dmel,CS,10,0.519,0.271,0.019957411,,
H,10/17/25,Dmel,CS,11,0.444,0.282,0.018487553,,
H,10/17/25,Dmel,CS,12,0.508,0.291,0.022524126,,
H,10/17/25,Dmel,CS,13,0.507,0.271,0.019495968,,
H,10/17/25,Dmel,CS,14,0.553,0.273,0.021579863,,
H,10/17/25,Dmel,CS,15,0.591,0.296,0.027112475,,
H,10/17/25,Dmel,CS,16,0.468,0.25,0.015315251,,
H,10/17/25,Dmel,CS,17,0.5,0.254,0.016890235,,
H,10/17/25,Dmel,CS,18,0.44,0.254,0.014863407,,
H,10/17/25,Dmel,CS,19,0.56,0.269,0.021217335,,
H,10/17/25,Dmel,CS,20,0.536,0.321,0.028918323,,
H,10/17/25,Dmel,CS,21,0.578,0.259,0.020301383,,
H,10/17/25,Dmel,CS,22,0.53,0.241,0.016117891,,
H,10/17/25,Dmel,CS,23,0.465,0.213,0.011046137,,
H,10/17/25,Dmel,CS,24,0.509,0.231,0.014221323,,
H,10/17/25,Dmel,CS,25,0.576,0.265,0.021179343,,
H,10/17/25,Dmel,CS,26,0.465,0.25,0.015217077,,
H,10/17/25,Dmel,CS,27,0.455,0.248,0.014652543,,
H,10/17/25,Dmel,CS,28,0.472,0.29,0.020784341,,
H,10/17/25,Dmel,CS,29,0.439,0.25,0.014366229,,
H,10/17/25,Dmel,CS,30,0.472,0.233,0.013416897,,
A,10/17/25,Dsec,7,1,0.521,0.271,0.020034318,,30
A,10/17/25,Dsec,7,2,0.613,0.258,0.021364766,,
A,10/17/25,Dsec,7,3,0.667,0.271,0.025648541,,
A,10/17/25,Dsec,7,4,0.605,0.271,0.023264419,,
A,10/17/25,Dsec,7,5,0.646,0.292,0.028840081,,
A,10/17/25,Dsec,7,6,0.625,0.272,0.024211187,,
A,10/17/25,Dsec,7,7,0.583,0.25,0.019078614,,
A,10/17/25,Dsec,7,8,0.719,0.292,0.032099099,,
A,10/17/25,Dsec,7,9,0.625,0.312,0.031855723,,
A,10/17/25,Dsec,7,10,0.744,0.278,0.030106536,,
A,10/17/25,Dsec,7,11,0.584,0.25,0.019111339,,
A,10/17/25,Dsec,7,12,0.61,0.271,0.023456687,,
A,10/17/25,Dsec,7,13,0.69,0.289,0.030174705,,
A,10/17/25,Dsec,7,14,0.625,0.274,0.024568543,,
A,10/17/25,Dsec,7,15,0.646,0.253,0.021650694,,
A,10/17/25,Dsec,7,16,0.732,0.292,0.032679473,,
A,10/17/25,Dsec,7,17,0.626,0.271,0.024071944,,
A,10/17/25,Dsec,7,18,0.634,0.292,0.028304352,,
A,10/17/25,Dsec,7,19,0.716,0.251,0.023618849,,
A,10/17/25,Dsec,7,20,0.792,0.312,0.040367572,,
A,10/17/25,Dsec,7,21,0.604,0.25,0.019765837,,
A,10/17/25,Dsec,7,22,0.668,0.274,0.026258859,,
A,10/17/25,Dsec,7,23,0.628,0.292,0.028036487,,
A,10/17/25,Dsec,7,24,0.597,0.258,0.020807121,,
A,10/17/25,Dsec,7,25,0.649,0.265,0.023863531,,
A,10/17/25,Dsec,7,26,0.625,0.272,0.024211187,,
A,10/17/25,Dsec,7,27,0.734,0.292,0.032768761,,
A,10/17/25,Dsec,7,28,0.703,0.313,0.036061373,,
A,10/17/25,Dsec,7,29,0.566,0.313,0.029033765,,
A,10/17/25,Dsec,7,30,0.705,0.28,0.028940327,,
B,10/1/25,Dsec,28,1,0.574,0.263,0.020788428,,30
B,10/1/25,Dsec,28,2,0.527,0.251,0.017384264,,
B,10/1/25,Dsec,28,3,0.598,0.263,0.02165763,,
B,10/1/25,Dsec,28,4,0.574,0.232,0.016176558,,
B,10/1/25,Dsec,28,5,0.509,0.235,0.0147181,,
B,10/1/25,Dsec,28,6,0.641,0.245,0.020145983,,
B,10/1/25,Dsec,28,7,0.595,0.249,0.019315854,,
