strain,replicate,ID,M1212,E1212,Order,N,MeanE1212
Aride3312,1,1,0,11.83333333,F,27,12.0154321
Aride3312,1,2,0,12.16666667,F,,
Aride3312,1,3,0,11.83333333,F,,
Aride3312,1,4,0,12,F,,
Aride3312,1,5,0,11.83333333,F,,
Aride3312,1,6,0,12,F,,
Aride3312,1,7,0,12,F,,
Aride3312,1,8,0.166666667,12.16666667,F,,
Aride3312,1,9,0,12,F,,
Aride3312,1,10,-0.416666667,12.08333333,F,,
Aride3312,1,11,0.166666667,12.16666667,F,,
Aride3312,1,13,0,12.16666667,F,,
Aride3312,1,14,0.166666667,12.16666667,F,,
Aride3312,1,15,0,11.66666667,F,,
Aride3312,2,11,0,12.16666667,F,,
Aride3312,2,12,0.166666667,12.33333333,F,,
Aride3312,2,16,0,12.16666667,F,,
Aride3312,2,17,0,11.66666667,F,,
Aride3312,2,18,0.166666667,11.83333333,F,,
Aride3312,2,19,-0.333333333,12.16666667,F,,
Aride3312,2,20,0,12,F,,
Aride3312,2,21,0,12,F,,
Aride3312,2,22,-0.166666667,12,F,,
Aride3312,2,24,-0.166666667,12,F,,
Aride3312,2,26,-0.166666667,11.83333333,F,,
Aride3312,2,27,0,12,F,,
Aride3312,2,28,0,12.16666667,F,,
ArideA3F311,2,1,0,12.16666667,E,24,12.13888889
ArideA3F311,2,2,0.166666667,12.16666667,E,,
ArideA3F311,2,3,0,12.16666667,E,,
ArideA3F311,2,4,0.166666667,12,E,,
ArideA3F311,2,5,0,12,E,,
ArideA3F311,2,6,0.166666667,12.33333333,E,,
ArideA3F311,2,7,0,12,E,,
ArideA3F311,2,8,0,12.16666667,E,,
ArideA3F311,2,9,0,12.16666667,E,,
ArideA3F311,2,10,0.166666667,12,E,,
ArideA3F311,2,11,0,12,E,,
ArideA3F311,2,12,0,12.16666667,E,,
ArideA3F311,2,13,0,12.16666667,E,,
ArideA3F311,2,14,0,12,E,,
ArideA3F311,2,15,0,12,E,,
ArideA3F311,2,16,0,12.16666667,E,,
ArideA3F311,2,17,0,12.16666667,E,,
ArideA3F311,2,18,0.166666667,12.16666667,E,,
ArideA3F311,2,19,0.166666667,12.16666667,E,,
ArideA3F311,2,20,0.5,12.16666667,E,,
ArideA3F311,2,29,0.166666667,12.83333333,E,,
ArideA3F311,2,30,0,12,E,,
ArideA3F311,2,31,0,12.16666667,E,,
ArideA3F311,2,32,0.166666667,12,E,,
Dmel.CS,1,1,0,12,H,24,12.09027778
