Strain,Prop.surv,Date,N,Order
Aride 3312,0.6,6/7/24,11,F
Aride 3312,0.888888889,6/11/24,,F
Aride 3312,0.444444444,6/11/24,,F
Aride 3312,0.727272727,6/12/24,,F
Aride 3312,0.8,6/12/24,,F
Aride 3312,0.5,6/19/24,,F
Aride 3312,0.625,6/19/24,,F
Aride 3312,0.777777778,6/24/24,,F
Aride 3312,0.9,6/24/24,,F
Aride 3312,0.75,6/25/24,,F
Aride 3312,1,6/26/24,,F
Aride A3F311,1,6/7/24,10,E
Aride A3F311,1,6/11/24,,E
Aride A3F311,1,6/11/24,,E
Aride A3F311,0.727272727,6/12/24,,E
Aride A3F311,0.7,6/12/24,,E
Aride A3F311,0.909090909,6/19/24,,E
Aride A3F311,0.75,6/24/24,,E
Aride A3F311,0.7,6/24/24,,E
Aride A3F311,0.666666667,6/25/24,,E
Aride A3F311,1,6/26/24,,E
DmelCS,0,6/7/24,10,H
DmelCS,0,6/11/24,,H
DmelCS,0,6/12/24,,H
DmelCS,0,6/19/24,,H
DmelCS,0,6/19/24,,H
DmelCS,0,6/24/24,,H
DmelCS,0,6/24/24,,H
DmelCS,0,6/25/24,,H
DmelCS,0,6/25/24,,H
DmelCS,0,6/26/24,,H
Dsec07,1,6/7/24,10,A
Dsec07,1,6/11/24,,A
Dsec07,0.9,6/12/24,,A
Dsec07,1,6/19/24,,A
Dsec07,0.916666667,6/19/24,,A
Dsec07,0.777777778,6/24/24,,A
Dsec07,0.777777778,6/24/24,,A
Dsec07,0.9,6/25/24,,A
Dsec07,1,6/25/24,,A
Dsec07,1,6/26/24,,A
Dsec28,0.9,6/7/24,10,B
Dsec28,1,6/11/24,,B
Dsec28,1,6/12/24,,B
Dsec28,0.666666667,6/19/24,,B
Dsec28,0.7,6/19/24,,B
Dsec28,0.888888889,6/24/24,,B
Dsec28,0.833333333,6/24/24,,B
Dsec28,0.9,6/25/24,,B
Dsec28,0.9,6/25/24,,B
Dsec28,1,6/26/24,,B
Mahe 13112,0.727272727,6/7/24,10,G
Mahe 13112,1,6/11/24,,G
Mahe 13112,0.833333333,6/11/24,,G
Mahe 13112,0.75,6/12/24,,G
Mahe 13112,0.916666667,6/12/24,,G
Mahe 13112,0.909090909,6/19/24,,G
Mahe 13112,0.818181818,6/19/24,,G
Mahe 13112,0.555555556,6/24/24,,G
Mahe 13112,0.7,6/25/24,,G
Mahe 13112,0.625,6/26/24,,G
Praislin 7611,1,6/7/24,10,C
Praislin 7611,0.6,6/7/24,,C
Praislin 7611,1,6/11/24,,C
Praislin 7611,0.75,6/11/24,,C
Praislin 7611,0.75,6/12/24,,C
Praislin 7611,0.6,6/12/24,,C
Praislin 7611,0.818181818,6/19/24,,C
Praislin 7611,0.636363636,6/24/24,,C
Praislin 7611,0.909090909,6/25/24,,C
Praislin 7611,1,6/26/24,,C
Praislin 7621,1,6/7/24,10,D
Praislin 7621,0.888888889,6/7/24,,D
Praislin 7621,1,6/11/24,,D
Praislin 7621,1,6/11/24,,D
Praislin 7621,1,6/12/24,,D
Praislin 7621,0.909090909,6/12/24,,D
Praislin 7621,1,6/19/24,,D
Praislin 7621,0.9,6/24/24,,D
Praislin 7621,0.8,6/25/24,,D
Praislin 7621,1,6/26/24,,D
