Date,Species,Strain,Egg,Length,Width,V=1/6(3.14159)W^2L,Order,N
10/17/25,Dsec,7,1,0.712,0.31,0.0358,A,30
10/17/25,Dsec,7,2,0.796,0.345,0.0496,A,
10/17/25,Dsec,7,3,0.743,0.362,0.051,A,
10/17/25,Dsec,7,4,0.789,0.335,0.0464,A,
10/17/25,Dsec,7,5,0.747,0.315,0.0388,A,
10/17/25,Dsec,7,6,0.693,0.325,0.0383,A,
10/17/25,Dsec,7,7,0.844,0.384,0.0652,A,
10/17/25,Dsec,7,8,0.796,0.361,0.0543,A,
10/17/25,Dsec,7,9,0.724,0.399,0.0604,A,
10/17/25,Dsec,7,10,0.779,0.348,0.0494,A,
10/17/25,Dsec,7,11,0.772,0.381,0.0587,A,
10/17/25,Dsec,7,12,0.866,0.346,0.0543,A,
10/17/25,Dsec,7,13,0.853,0.311,0.0432,A,
10/17/25,Dsec,7,14,1.049,0.335,0.0616,A,
10/17/25,Dsec,7,15,0.739,0.342,0.0453,A,
10/17/25,Dsec,7,16,0.742,0.399,0.0619,A,
10/17/25,Dsec,7,17,0.682,0.333,0.0396,A,
10/17/25,Dsec,7,18,0.754,0.366,0.0529,A,
10/17/25,Dsec,7,19,0.821,0.307,0.0405,A,
10/17/25,Dsec,7,20,0.941,0.323,0.0514,A,
10/17/25,Dsec,7,21,0.675,0.34,0.0409,A,
10/17/25,Dsec,7,22,0.788,0.292,0.0352,A,
10/17/25,Dsec,7,23,0.751,0.323,0.041,A,
10/17/25,Dsec,7,24,0.734,0.342,0.045,A,
10/17/25,Dsec,7,25,0.759,0.363,0.0524,A,
10/17/25,Dsec,7,26,0.768,0.357,0.0513,A,
10/17/25,Dsec,7,27,0.678,0.352,0.044,A,
10/17/25,Dsec,7,28,0.813,0.379,0.0611,A,
10/17/25,Dsec,7,29,0.71,0.356,0.0471,A,
10/17/25,Dsec,7,30,0.819,0.349,0.0522,A,
10/1/25,Dsec ,28,1,0.703,0.319,0.0375,B,30
10/1/25,Dsec ,28,2,0.712,0.392,0.0573,B,
10/1/25,Dsec ,28,3,0.679,0.316,0.0355,B,
10/1/25,Dsec ,28,4,0.635,0.345,0.0396,B,
10/1/25,Dsec ,28,5,0.686,0.348,0.0435,B,
10/1/25,Dsec ,28,6,0.561,0.301,0.0266,B,
10/1/25,Dsec ,28,7,0.657,0.343,0.0405,B,
10/1/25,Dsec ,28,8,0.711,0.308,0.0353,B,
10/1/25,Dsec ,28,9,0.74,0.38,0.0559,B,
10/1/25,Dsec ,28,10,0.807,0.328,0.0455,B,
10/1/25,Dsec ,28,11,0.781,0.39,0.0622,B,
10/1/25,Dsec ,28,12,0.683,0.368,0.0484,B,
10/1/25,Dsec ,28,13,0.693,0.334,0.0405,B,
10/1/25,Dsec ,28,14,0.662,0.372,0.048,B,
10/1/25,Dsec ,28,15,0.739,0.343,0.0455,B,
10/1/25,Dsec ,28,16,0.749,0.373,0.0546,B,
10/1/25,Dsec ,28,17,0.677,0.365,0.0472,B,
10/1/25,Dsec ,28,18,0.684,0.32,0.0367,B,
10/1/25,Dsec ,28,19,0.676,0.346,0.0424,B,
10/1/25,Dsec ,28,20,0.676,0.416,0.0613,B,
10/1/25,Dsec ,28,21,0.718,0.32,0.0385,B,
10/1/25,Dsec ,28,22,0.656,0.328,0.037,B,
10/1/25,Dsec ,28,23,0.712,0.316,0.0372,B,
10/1/25,Dsec ,28,24,0.699,0.34,0.0423,B,
10/1/25,Dsec ,28,25,0.688,0.326,0.0383,B,
10/1/25,Dsec ,28,26,0.686,0.296,0.0315,B,
10/1/25,Dsec ,28,27,0.7,0.318,0.0371,B,
10/1/25,Dsec ,28,28,0.676,0.336,0.04,B,
10/1/25,Dsec ,28,29,0.59,0.303,0.0284,B,
10/1/25,Dsec ,28,30,0.706,0.351,0.0455,B,
10/17/25,Dsec,P7611,1,0.694,0.302,0.0331,C,35
10/17/25,Dsec,P7611,2,0.763,0.367,0.0538,C,
10/17/25,Dsec,P7611,3,0.693,0.439,0.0699,C,
10/17/25,Dsec,P7611,4,0.683,0.405,0.0587,C,
10/17/25,Dsec,P7611,5,0.818,0.443,0.0841,C,
10/31/25,Dsec,P7611,1,0.817,0.447,0.0855,C,
10/31/25,Dsec,P7611,2,0.861,0.356,0.0571,C,
10/31/25,Dsec,P7611,3,0.755,0.381,0.0574,C,
10/31/25,Dsec,P7611,4,0.786,0.395,0.0642,C,
10/31/25,Dsec,P7611,5,0.787,0.388,0.062,C,
10/31/25,Dsec,P7611,6,0.809,0.357,0.054,C,
10/31/25,Dsec,P7611,7,0.827,0.341,0.0504,C,
10/31/25,Dsec,P7611,8,0.718,0.377,0.0534,C,
10/31/25,Dsec,P7611,9,0.703,0.394,0.0571,C,
10/31/25,Dsec,P7611,10,0.727,0.347,0.0458,C,
10/31/25,Dsec,P7611,11,0.793,0.4,0.0664,C,
10/31/25,Dsec,P7611,12,0.784,0.415,0.0707,C,
10/31/25,Dsec,P7611,13,0.914,0.391,0.0732,C,
10/31/25,Dsec,P7611,14,0.76,0.372,0.0551,C,
10/31/25,Dsec,P7611,15,0.815,0.34,0.0493,C,
10/31/25,Dsec,P7611,16,0.763,0.38,0.0577,C,
10/31/25,Dsec,P7611,17,0.731,0.358,0.0491,C,
10/31/25,Dsec,P7611,18,0.822,0.445,0.0852,C,
10/31/25,Dsec,P7611,19,0.752,0.34,0.0455,C,
10/31/25,Dsec,P7611,20,0.758,0.394,0.0616,C,
10/31/25,Dsec,P7611,21,0.758,0.357,0.0506,C,
10/31/25,Dsec,P7611,22,0.78,0.41,0.0687,C,
10/31/25,Dsec,P7611,23,0.662,0.413,0.0591,C,
10/31/25,Dsec,P7611,24,0.831,0.419,0.0764,C,
10/31/25,Dsec,P7611,25,0.71,0.431,0.0691,C,
10/31/25,Dsec,P7611,26,0.829,0.429,0.0799,C,
10/31/25,Dsec,P7611,27,0.768,0.315,0.0399,C,
10/31/25,Dsec,P7611,28,0.74,0.393,0.0598,C,
10/31/25,Dsec,P7611,29,0.745,0.364,0.0517,C,
10/31/25,Dsec,P7611,30,0.769,0.431,0.0748,C,
10/1/25,Dsec,P7621,1,0.642,0.329,0.0364,D,41
